"name","LASSO_MAPE","Forward_MAPE","tree_MAPE","RF_MAPE","SVMR_L_MAPE","LASSO_MSPE","Forward_MSPE","tree_MSPE","RF_MSPE","SVR_L_MSPE"
"k_100_p_1_lag_10.csv","1.144","0.245","6.901","3.29","2.61","114705.133223639","7266.83020581118","6204000.09867216","1982973.53468489","672833.601387409"
"k_100_p_1_lag_20.csv","1.198","0.291","7.717","3.918","3.321","127782.972396818","12296.8295912074","8144731.48453221","2481408.12598188","1172215.0572065"
"k_100_p_1_lag_30.csv","1.199","0.366","7.984","4.195","3.469","122820.187043905","17701.2655382083","9235708.92261138","2333600.75224016","1195762.64688143"
"k_100_p_1_lag_60.csv","1.186","0.512","7.761","4.252","4.036","121555.98098528","30697.0261981319","6344269.62338459","2990219.27404328","3383188.24470172"
"k_100_p_10_lag_10.csv","4.533","4.158","9.554","7.687","5.915","2319085.06485021","1907350.36491858","10004418.0200678","6650918.34665351","3738981.70002623"
"k_100_p_10_lag_20.csv","4.908","4.793","9.646","7.816","5.705","2640959.9482856","2726695.76706895","11224863.7983327","7041302.74868487","3536393.37832786"
"k_100_p_10_lag_30.csv","4.839","6.494","9.937","8.107","5.819","2367559.82495333","7037072.85048132","13105646.6930955","6831681.91346743","3324215.18534387"
"k_100_p_10_lag_60.csv","5.122","7.489","9.936","8.364","6.888","2647309.99060968","7229691.5606923","10604770.4438604","8468197.83740336","5555495.34422458"
"k_100_p_30_lag_10.csv","14.135","13.67","17.101","15.977","16.67","19685104.700614","19204548.2775262","33634755.3286918","25034684.437365","28527965.9379345"
"k_100_p_30_lag_20.csv","14.225","17.646","17.759","16.073","23.652","19855376.223655","48295678.1313554","33976644.7754146","26559408.1012958","57335762.9211772"
"k_100_p_30_lag_30.csv","14.132","21.719","17.905","16.366","22.786","19321516.0517022","51959145.547748","36759818.5265057","26284885.6494929","53181497.8300107"
"k_100_p_30_lag_60.csv","14.892","28.606","18.986","16.893","19.887","21479417.5357965","79093739.6769813","37023779.6561072","29266251.1955927","40733807.2713736"
"k_100_p_5_lag_10.csv","2.057","1.858","7.655","5.239","3.627","473135.253065978","401628.380135912","7353006.09800412","3587510.14635432","1322942.54319446"
"k_100_p_5_lag_20.csv","2.717","2.241","8.616","5.615","3.931","788783.593865314","643094.987869791","9807468.26491916","3780751.57213189","1568624.46704793"
"k_100_p_5_lag_30.csv","2.702","2.665","8.91","5.809","4.297","753878.26106329","842104.287656824","10805334.1813105","3713945.36108075","1726777.51349998"
"k_100_p_5_lag_60.csv","2.739","3.47","8.229","6.185","5.25","806445.153331343","1340673.01029919","6951482.16118218","5220149.22493758","3928956.36332355"
"k_30_p_1_lag_10.csv","1.2","0.471","17.35","8.099","4.756","131718.106803087","33397.8710402568","34763752.4712786","12220245.2096701","5127797.13225058"
"k_30_p_1_lag_20.csv","3.254","2.475","18.972","10.691","8.113","15395224.3006904","15298129.5519622","44287986.2161322","24668938.673525","19052678.1045201"
"k_30_p_1_lag_30.csv","3.811","3.075","19.391","11.841","9.123","16279062.5415944","16469501.5472622","45181713.0339974","23484690.1086264","22364054.7553293"
"k_30_p_1_lag_60.csv","1.03","0.647","18.018","11.123","9.193","81591.1350457167","48612.4680356238","38680691.9539754","13888823.6299813","9177126.7602784"
"k_30_p_10_lag_10.csv","6.206","6.647","18.538","11.616","9.149","4671377.84853963","5436025.73160543","38788689.7719546","19004129.4972754","10692443.2466404"
"k_30_p_10_lag_20.csv","6.722","7.41","18.572","12.454","13.067","9675041.18961148","10062209.979994","44621250.6398397","23600208.3769914","51810280.2205359"
"k_30_p_10_lag_30.csv","6.152","7.561","18.329","12.704","10.46","3919986.53474217","6176551.93050417","34828125.8849037","16254318.1799464","11700440.1388447"
"k_30_p_10_lag_60.csv","6.735","7.013","18.328","13.214","12.096","5400592.08998393","5045449.91743305","39521212.6414367","19985260.3040571","15691751.2263693"
"k_30_p_30_lag_10.csv","17.538","23.252","23.362","20.959","25.228","28668744.2150376","65718451.4585179","59876959.5772433","46907683.316786","66519669.0030429"
"k_30_p_30_lag_20.csv","18.536","27.705","24.709","21.06","24.369","35915057.8018597","98024191.4593291","69616155.2777707","46971107.381153","71640186.0656044"
"k_30_p_30_lag_30.csv","18.099","28.233","24.322","21.279","22.964","31441757.569579","77821501.6313138","59649338.2532856","41690432.2033699","52082658.202181"
"k_30_p_30_lag_60.csv","19.003","27.017","24.757","21.486","22.051","35674873.3257251","81376031.4446677","69120110.7935237","45462409.5881638","48484224.4225427"
"k_30_p_5_lag_10.csv","3.148","2.975","17.201","9.36","6.392","1004862.53548435","1002147.56939755","35017782.9294324","14926785.2305674","6608838.87009963"
"k_30_p_5_lag_20.csv","3.764","3.967","18.342","10.747","10.394","6966777.79698553","7157970.05911053","42418457.4266779","20416235.5357063","45245130.5187168"
"k_30_p_5_lag_30.csv","3.011","3.101","17.733","10.874","7.89","989684.570218295","1287629.47946196","32449680.5394376","11810010.0732565","6969528.08296411"
"k_30_p_5_lag_60.csv","3.499","3.45","18.865","11.99","10.516","1277603.62769093","1345442.40886616","40858012.4815911","16771502.0109525","11803583.677323"
"k_500_p_1_lag_10.csv","1.151","0.204","5.949","1.518","1.585","112511.693359612","5800.17191866317","3758248.68082505","278290.825577217","276736.981135993"
"k_500_p_1_lag_20.csv","1.166","0.214","6.691","1.618","1.933","117001.995357987","6683.46399239562","4211187.13613466","301596.328950185","380685.118998867"
"k_500_p_1_lag_30.csv","1.16","0.195","6.737","1.684","1.966","115850.847603016","4990.91775522883","4335386.40116468","329461.422397373","384459.539887795"
"k_500_p_1_lag_60.csv","1.16","0.236","6.853","1.652","2.516","116345.706781715","9259.04067670256","4832581.54296627","276962.277964601","682831.693606974"
"k_500_p_10_lag_10.csv","3.913","3.646","8.88","5.867","4.133","1674640.89063516","1511220.07920247","7945384.60338716","3457461.61985428","1795539.96514159"
"k_500_p_10_lag_20.csv","3.913","3.646","8.88","5.867","4.133","1674640.89063516","1511220.07920247","7945384.60338716","3457461.61985428","1795539.96514159"
"k_500_p_10_lag_30.csv","3.693","3.565","8.851","5.974","4.831","1450231.2773125","1209019.51973799","8232633.63470726","3648557.30116863","2343807.37916753"
"k_500_p_10_lag_60.csv","3.973","3.505","9.416","6.038","5.055","1646688.28070076","1367393.20412469","8457489.44897432","3574793.83001996","2690103.12974846"
"k_500_p_120_lag_10.csv","36.531","37.092","39.095","37.233",NA,"111640799.233823","114307158.158183","123573978.058779","112584084.441305",NA
"k_500_p_1440_lag_10.csv","45.681","45.933","48.661","48.629",NA,"131249065.820242","134352244.102188","146327323.555971","141009776.309224",NA
