time,lasso,forward,tree,Random_Forest,SVR_L,SVR_P,SVR_R,true_value
2013/12/27 9:28,14054.028,15083.91276,18701.35528,20890.822,9076.418877,NA,NA,14809.34047
2013/11/24 13:08,29562.21699,28270.79982,36958.66833,30889.63726,27930.33594,NA,NA,27959.37127
2013/12/16 16:59,14063.96999,11050.60743,22866.03898,20535.27965,12382.1265,NA,NA,14626.56211
2013/12/8 13:00,19223.44062,16918.77109,18950.09787,17274.62819,17424.85867,NA,NA,21641.54376
2013/12/20 13:26,26973.49537,24774.35306,32885.71467,26190.05002,29544.477,NA,NA,27295.80388
2013/12/24 4:27,43581.33474,50404.35237,39712.98213,40886.85931,43413.75319,NA,NA,45756.21883
2013/12/16 20:16,21292.38821,21471.52705,22502.87883,22706.28129,18916.89362,NA,NA,21537.30445
2013/12/16 11:18,42396.32554,42973.64716,39760.16664,42694.9823,42205.04235,NA,NA,43389.34042
2013/11/26 18:45,45973.53442,48338.7268,40730.32479,44410.49364,45361.27247,NA,NA,47676.33112
2013/11/24 21:51,30130.62883,34125.33471,20648.32084,29156.40791,31549.06616,NA,NA,25673.6871
2013/12/4 6:30,22447.32811,20725.07632,19963.97033,20990.69906,26799.86006,NA,NA,20498.85654
2013/12/26 11:20,12004.49182,10888.19084,18465.87505,19311.67722,13673.77474,NA,NA,10941.20258
2013/12/11 12:43,44601.09574,43712.42674,45650.91035,46545.90796,36501.32996,NA,NA,45932.00622
2013/12/14 19:38,21264.97348,22122.09724,19662.02752,18142.69098,16842.75094,NA,NA,22553.9647
2013/12/28 13:04,41381.90513,40998.69902,40985.5466,41676.4011,41423.55157,NA,NA,43261.98023
2013/11/24 9:38,48275.55059,55597.70687,38698.93269,41089.01235,49240.8717,NA,NA,47972.85044
2013/12/9 19:17,33072.89447,33037.66559,40605.2149,37381.28147,33198.63658,NA,NA,30604.5114
2013/12/28 0:24,14312.54527,13689.19189,15126.81735,17485.03004,12300.80676,NA,NA,13979.30839
2013/12/20 9:32,30816.02308,31192.51666,39682.06615,35906.94456,32060.68562,NA,NA,28273.47331
2013/11/26 0:17,20656.11662,18648.49443,15973.89856,17792.81656,18058.03466,NA,NA,22736.21484
2013/12/22 7:39,25460.83749,26496.27403,28611.47562,30114.05474,24811.82659,NA,NA,23904.71921
2013/12/7 6:49,27757.06466,28856.84949,25990.20841,21893.55212,30929.53301,NA,NA,25679.12918
2013/12/21 6:02,33267.47386,36509.43013,35573.37809,37165.26876,33808.74788,NA,NA,37714.08608
2013/12/17 12:19,30282.07068,29389.0749,41054.95044,35528.67894,29945.63024,NA,NA,30016.41188
2013/11/27 3:22,35608.06657,36749.70883,39229.18861,37673.17735,35404.98211,NA,NA,38185.90923
2013/12/7 21:43,40530.99948,40092.62623,38617.31893,41195.43673,40633.9014,NA,NA,43279.8708
2013/12/24 20:17,39542.8478,39981.05059,42052.86819,43163.99219,38718.63595,NA,NA,43216.21022
2013/12/4 18:18,15088.02497,14730.4812,16946.97406,15811.03911,14471.92496,NA,NA,14705.2891
2013/12/24 6:36,37855.97339,35233.944,43325.18832,40366.08399,44328.49315,NA,NA,33597.54921
2013/12/13 15:15,26610.72134,24846.9135,24080.21815,26943.53301,27733.08485,NA,NA,22386.54268
2013/12/7 23:39,45817.17557,44282.20346,44958.74841,45030.42292,49655.27672,NA,NA,42375.70762
2013/12/17 14:53,38898.01462,40538.90389,41455.3956,40538.52375,38588.2841,NA,NA,38450.17229
2013/12/11 23:46,23468.24248,23661.06268,21481.48919,25041.90186,23370.68513,NA,NA,22394.11264
2013/12/1 11:36,47659.28569,49032.45936,38825.19368,42224.13894,51857.95737,NA,NA,46511.22297
2013/12/3 0:03,19242.53154,20884.78775,18309.77566,16261.64468,18518.74215,NA,NA,20037.06446
2013/12/9 18:00,37576.48411,40317.95316,42422.05135,38289.06757,40281.0859,NA,NA,39162.85382
2013/12/1 17:32,15951.3668,15162.72561,18503.14507,19710.0254,19294.85777,NA,NA,14586.17379
2013/12/1 18:45,16020.37532,18370.18491,18127.96575,17841.00672,16114.20296,NA,NA,17451.63992
2013/12/21 1:23,43051.9398,46160.46348,36909.39921,41746.04836,42125.44151,NA,NA,43394.7153
2013/11/24 18:06,36552.9121,35656.02891,39989.751,38187.66646,36702.19885,NA,NA,36302.16297
2013/11/25 7:19,38734.54364,40649.44421,35051.29235,42053.07159,37691.23026,NA,NA,42251.75701
2013/12/27 12:45,34569.04383,34144.72434,35205.89921,34044.97534,37109.81321,NA,NA,33660.59751
2013/11/24 18:44,26695.13896,27157.21955,25599.35461,26155.37276,26494.99295,NA,NA,26250.60028
2013/12/11 0:13,25197.21361,20310.81598,23616.99472,21006.17656,27786.70164,NA,NA,21271.69271
2013/12/10 22:15,13721.20893,15798.88285,13816.26157,13764.17803,9820.505417,NA,NA,17390.11038
2013/12/25 0:40,15525.75097,15246.45724,17035.38224,16845.36365,15467.68571,NA,NA,16013.73878
2013/12/27 9:21,10302.58262,6352.775069,19798.08973,15594.41112,8800.949543,NA,NA,14810.37518
2013/12/4 9:35,16716.47162,15965.86543,16992.12306,16528.52164,15871.24403,NA,NA,15911.39475
2013/12/15 12:24,26306.55077,23841.25229,39224.35711,32765.84882,28672.21565,NA,NA,23286.60332
2013/12/9 18:32,36716.05637,35227.33147,39745.26466,40186.80275,34459.91111,NA,NA,36653.75659
2013/12/8 2:29,35698.96351,34912.01167,40291.16527,39032.95639,36067.98587,NA,NA,34469.41632
2013/11/27 16:49,13905.86613,12119.94851,23288.98312,15402.42653,12290.09222,NA,NA,13286.24807
2013/12/5 17:45,19540.8589,16792.93142,24068.96078,22885.55951,18405.76027,NA,NA,15350.78525
2013/12/23 23:47,15218.87658,14572.92054,20376.83714,16922.17453,16192.19498,NA,NA,14492.10536
