"","time","lasso","forward","tree","Random_Forest","SVR_L","SVR_P","SVR_R","true_value"
"1",2013-12-27 09:28:00,15010.9365774815,14794.3386870274,21778.2226184615,18209.7902802567,12780.0287649355,NA,NA,14784.04578
"2",2013-11-24 13:08:00,29767.5279695617,29682.4658223432,26298.05863,28989.3658795267,29906.4387294733,NA,NA,29723.33157
"3",2013-12-16 16:59:00,15339.67856031,15311.8923821504,15073.3390271429,15374.113146742,15513.5717202062,NA,NA,14933.66739
"4",2013-12-08 13:00:00,18904.5528800511,19042.5225312094,15794.7910628571,16112.1971196973,17109.6821955404,NA,NA,18903.90111
"5",2013-12-20 13:26:00,27108.1532485066,26929.1959434042,24844.6329342857,26186.6615116047,28108.8244717049,NA,NA,27021.78135
"6",2013-12-24 04:27:00,42739.7264614718,43275.8031489879,41707.9188941667,42288.1291922113,40264.0400613095,NA,NA,43553.21334
"7",2013-12-16 20:16:00,21880.6627752933,21714.6744729248,16507.3902641111,20323.3212280331,22281.212005949,NA,NA,21690.55014
"8",2013-12-16 11:18:00,42620.4911210541,42921.6907666865,46996.0946085714,40709.2291078793,42125.7313853739,NA,NA,42989.86647
"9",2013-11-26 18:45:00,46892.1065836822,47395.5788907709,44926.80822625,45383.8832763277,46788.3892601655,NA,NA,47213.17337
"10",2013-11-24 21:51:00,29006.1499403077,28980.4547188972,19994.6556536364,28016.2847414514,28668.9445012315,NA,NA,28737.36312
"11",2013-12-04 06:30:00,20136.3195388699,19821.6892097385,18486.6744071429,19033.2060553997,19425.9482895053,NA,NA,19898.1793
"12",2013-12-26 11:20:00,15133.6738565842,13712.6774735277,24093.6421936364,20000.3111518347,15422.5301421922,NA,NA,14218.71244
"13",2013-12-11 12:43:00,45664.307149709,45891.6117844264,40495.0435,42188.0491402283,45862.6463288948,NA,NA,45777.21191
"14",2013-12-14 19:38:00,21390.2035624666,21254.9275994281,23422.6779833333,21797.678298128,20852.2618904031,NA,NA,21261.6795
"15",2013-12-28 13:04:00,43832.8918864479,44090.8122186742,44441.8042309091,46692.6424630443,44788.1926377063,NA,NA,44047.85412
"16",2013-11-24 09:38:00,47558.8038232938,48001.6134338469,47063.3929344444,47978.2608916811,46689.3539897772,NA,NA,47913.9258
"17",2013-12-09 19:17:00,33667.213616215,33595.0338082102,36965.9820642857,35989.9339527374,34929.0299394878,NA,NA,33290.01409
"18",2013-12-28 00:24:00,14339.9529466671,13831.1663701343,14704.7673323636,14456.0005262491,14954.5277765129,NA,NA,13945.25805
"19",2013-12-20 09:32:00,30297.1108820055,30334.5168142498,38144.0890263636,30666.1744730096,29641.3127598625,NA,NA,30379.78427
"20",2013-11-26 00:17:00,20264.8154772825,20147.7634083807,23486.1678142857,18551.1803802704,19550.2615913384,NA,NA,20201.16181
"21",2013-12-22 07:39:00,28009.7672862414,27769.3562751483,30874.3837211111,30026.6260849023,28989.3387017546,NA,NA,27436.89109
"22",2013-12-07 06:49:00,23746.3279490513,24189.2850528535,22976.6374311111,21685.5153719196,24332.472105649,NA,NA,23736.05066
"23",2013-12-21 06:02:00,35837.4089735038,35990.0523930659,42739.4329342857,36316.3610684503,35418.2494054342,NA,NA,36071.9887
"24",2013-12-17 12:19:00,31049.5907195006,30721.4698459561,26575.9326071429,34255.3677614853,31459.8935676727,NA,NA,30927.3521
"25",2013-11-27 03:22:00,36082.3922333327,36289.8430055064,35545.9373614286,36430.9834906613,36472.9123500268,NA,NA,36526.46415
"26",2013-12-07 21:43:00,41035.8481994374,41267.6930775235,44655.900445,41807.8951073643,40647.2092386624,NA,NA,41356.47901
"27",2013-12-24 20:17:00,41092.2986788195,41331.7314253749,42396.163669,40071.4323060003,39545.1134322397,NA,NA,41301.74762
"28",2013-12-02 05:32:00,50689.6469220482,51620.951630761,29421.0532075,26657.15010332,22497.511143155,NA,NA,51537.58504
"29",2013-12-04 18:18:00,15147.797228779,14743.7020150478,22484.0976730769,17580.8108793157,15635.131307041,NA,NA,14732.51085
"30",2013-12-24 06:36:00,36304.0454799251,36245.039259743,42232.29616625,38938.1257082143,36376.6600820256,NA,NA,36246.63554
"31",2013-12-13 15:15:00,26092.1691591399,25673.4451591841,22548.9511375,23760.0196936937,26337.8685516545,NA,NA,25638.30045
"32",2013-12-07 23:39:00,44775.9658921408,45137.8099643055,42154.8665942857,42673.997943707,44305.6037210327,NA,NA,44945.34034
"33",2013-12-17 14:53:00,39471.1099495076,39426.4406667544,44887.76303,40594.5591719887,40400.3699815649,NA,NA,39641.65615
"34",2013-12-11 23:46:00,23226.9147482189,23029.8097157793,21638.96289,25576.0447982003,23808.7747002543,NA,NA,22971.01989
"35",2013-12-01 11:36:00,44670.7260982825,45225.467892959,43753.81766,43489.633931238,44183.3064837905,NA,NA,45111.19478
"36",2013-12-03 00:03:00,18880.8811709867,18657.346311989,22509.6419018182,16703.6201115123,18208.1652358311,NA,NA,18574.51703
"37",2013-12-09 18:00:00,37214.8756807339,37529.9749073905,42534.0385491667,37295.5438606933,37086.2357082567,NA,NA,37487.82515
"38",2013-12-01 17:32:00,13889.9673290546,13576.9121370488,18546.9093466667,16079.9857189547,15115.263812767,NA,NA,13730.10161
"39",2013-12-01 18:45:00,15235.1860420415,14938.9064053645,19761.3986107692,16044.2840217827,14869.6477760006,NA,NA,14960.15503
"40",2013-12-21 01:23:00,42535.1602552238,42729.7980664652,42008.0896081818,43974.265370476,40478.8370098893,NA,NA,43033.3054
"41",2013-11-24 18:06:00,37664.6032185688,37346.1303949075,42645.81211,38129.120146464,38176.9374665948,NA,NA,37801.1718
"42",2013-11-25 07:19:00,40717.0564063531,40959.2528158242,45685.8418014286,39555.5549206813,40674.1381326619,NA,NA,41056.15174
"43",2013-12-27 12:45:00,33713.1300802773,33662.6921240563,33955.21968125,33880.080283002,34099.2298624175,NA,NA,33597.48194
"44",2013-11-24 18:44:00,27758.8094496402,27698.8213735959,22572.8820192308,27337.2832337683,28039.6636370659,NA,NA,27642.11137
"45",2013-12-11 00:13:00,21526.5112632211,21568.9132438428,14095.5269777778,19557.986348276,22239.182583634,NA,NA,21297.68699
"46",2013-12-10 22:15:00,14849.6245673212,14579.0422569147,12959.3685288,14345.8398735727,14538.3771837237,NA,NA,14731.6342
"47",2013-12-25 00:40:00,16485.6471340209,16445.3166583386,13700.8385942222,14636.7901314674,16358.1408107819,NA,NA,16249.91051
"48",2013-12-02 06:06:00,51242.8739598958,51761.4385287085,20119.2485585714,27808.9995532069,45320.6130586762,NA,NA,51580.32931
"49",2013-12-27 09:21:00,15367.2490935914,13234.919298925,19339.3835685714,21649.331737768,19346.3976194376,NA,NA,14812.06266
"50",2013-12-04 09:35:00,14917.5899638721,14659.5401811179,14534.2688342857,14743.5315666793,14638.7513148181,NA,NA,14740.604
"51",2013-12-15 12:24:00,25852.3977972203,25408.5321211248,24403.870425,26541.1075109967,26242.9536547154,NA,NA,25304.03867
"52",2013-12-09 18:32:00,38824.7055485485,38621.5487212034,46559.27196,44065.177309653,39964.343822008,NA,NA,38646.64228
"53",2013-12-08 02:29:00,35627.7046955472,35621.5836414655,42237.6816558333,39426.9981333823,36052.6481879614,NA,NA,35428.86759
"54",2013-11-27 16:49:00,13687.1907499091,13319.9614084011,18727.94673875,17041.025297579,11069.1894158188,NA,NA,13276.69666
"55",2013-12-05 17:45:00,18284.2908718204,17633.5504001602,23747.0881228571,22208.153590113,20072.4265942264,NA,NA,17680.63347
"56",2013-12-23 23:47:00,13963.0574682368,13764.1508244097,15328.8389407692,15062.669304073,11884.1547724212,NA,NA,13846.49254
"57",2013-12-06 11:46:00,32111.5545813305,32071.5209521781,32132.3666171429,31571.3956885453,32860.083593916,NA,NA,32026.01644
"58",2013-12-23 18:41:00,32044.9524492416,32036.4091776835,29425.2718315385,31561.1520690304,30338.9152234173,NA,NA,32202.85294
"59",2013-12-14 12:04:00,47964.2114231953,48402.0278624833,45184.644811,46455.7919237916,48728.6592967323,NA,NA,48383.56828
"60",2013-12-24 03:50:00,35942.3220272763,35957.2548990329,35574.7531942857,35951.8884013997,34431.3193551556,NA,NA,36076.90078
"61",2013-12-09 19:35:00,30433.916579689,30315.455345326,19244.8386233333,29244.8807873594,29863.159760443,NA,NA,30338.77091
"62",2013-11-30 06:08:00,37333.6538595493,37659.9074937068,38560.6425916667,38313.7335382267,37040.2541032365,NA,NA,37645.85191
"63",2013-12-23 11:03:00,38955.1618488373,39223.3562487075,40714.2357753846,38152.984824832,38751.7140588541,NA,NA,39531.28465
"64",2013-12-25 05:56:00,44460.0597247105,45073.9914609758,43640.5964871429,42819.076819526,44466.046797814,NA,NA,45123.38891
"65",2013-11-28 03:09:00,14912.1337969589,14311.2628042135,16788.967484,16223.801909362,15900.6080504022,NA,NA,14532.08813
"66",2013-12-27 20:06:00,25852.4347963018,25430.6534103308,17742.8615321667,22470.8636663023,26642.1542328227,NA,NA,25456.88644
"67",2013-12-12 09:46:00,31002.0015141425,30861.6439783627,41276.10621,37080.5848019373,32710.8579015254,NA,NA,30946.76097
