,time,lasso,forward,tree,Random_Forest,SVR_L,SVR_P,SVR_R,true_value,
1,2013/12/27 9:28,15109.17844,14733.36479,20083.2379,17761.86143,13427.56369,NA,NA,14784.0458,
2,2013/11/24 13:08,29738.39866,29368.82811,38954.80845,32860.18617,28028.99348,NA,NA,29723.3316,
3,2013/12/16 16:59,15386.92962,14674.37407,19540.52625,19914.52982,14061.65531,NA,NA,14933.6674,
4,2013/12/8 13:00,19030.99241,19061.18824,15295.04811,17308.13875,16557.22096,NA,NA,18903.9011,
5,2013/12/20 13:26,27070.85448,26963.42638,20959.50566,26096.13642,28570.36721,NA,NA,27021.7814,
6,2013/12/24 4:27,42769.42786,43446.46608,35036.74746,39562.64021,41042.12188,NA,NA,43553.2133,
7,2013/12/16 20:16,21983.18882,22891.67259,22480.76849,22828.04243,22407.4564,NA,NA,21690.5501,
8,2013/12/16 11:18,42509.19961,42964.31473,39977.45064,43138.55429,41029.09331,NA,NA,42989.8665,
9,2013/11/26 18:45,46723.81662,47315.44191,41145.82122,43354.95279,46623.57996,NA,NA,47213.1734,
10,2013/11/24 21:51,29005.1207,28979.3922,20350.99131,27467.6235,29747.79762,NA,NA,28737.3631,
11,2013/12/4 6:30,20076.89354,19953.61763,19218.58179,20510.86833,22931.06338,NA,NA,19898.1793,
12,2013/12/26 11:20,15188.84222,14230.07256,17738.42532,18041.89933,16491.50669,NA,NA,14218.7124,
13,2013/12/11 12:43,45565.50213,45958.51314,45317.05518,46216.73381,42598.88123,NA,NA,45777.2119,
14,2013/12/14 19:38,21470.14157,21319.01616,23930.22274,20099.0549,19000.53402,NA,NA,21261.6795,
15,2013/12/28 13:04,43805.58307,44003.76766,39413.54833,42409.94843,43008.37243,NA,NA,44047.8541,
16,2013/11/24 9:38,47408.25417,47875.49162,37631.11615,42288.34972,46767.94482,NA,NA,47913.9258,
17,2013/12/9 19:17,33570.18654,33304.29382,40133.46014,36884.87749,34158.26369,NA,NA,33290.0141,
18,2013/12/28 0:24,14363.09633,13905.65267,14695.3038,16940.88169,13048.07057,NA,NA,13945.2581,
19,2013/12/20 9:32,30326.05306,30555.63781,40665.92783,33566.48409,32437.26774,NA,NA,30379.7843,
20,2013/11/26 0:17,20229.25148,19932.55438,15561.84477,16991.30107,18829.42628,NA,NA,20201.1618,
21,2013/12/22 7:39,27820.6558,27361.40808,21218.42877,31620.97419,27247.60599,NA,NA,27436.8911,
22,2013/12/7 6:49,23624.74248,23934.56674,24625.28469,19118.04112,24965.0845,NA,NA,23736.0507,
23,2013/12/21 6:02,35997.49492,36027.78503,34864.3419,35642.99557,33037.09341,NA,NA,36071.9887,
24,2013/12/17 12:19,31073.62384,30905.52886,20305.07459,34386.81654,30211.0647,NA,NA,30927.3521,
25,2013/11/27 3:22,36006.80051,36313.45264,37534.5173,36751.87884,35860.06788,NA,NA,36526.4642,
26,2013/12/7 21:43,40834.81584,41225.78563,38096.82954,41126.42221,41446.51361,NA,NA,41356.479,
27,2013/12/24 20:17,40974.1368,41462.97487,45757.0301,43702.75161,38752.59122,NA,NA,41301.7476,
28,2013/12/4 18:18,15156.27353,14605.45752,16955.25489,16068.18216,13649.576,NA,NA,51537.585,
29,2013/12/24 6:36,36384.84869,36314.65556,41082.46285,39370.50176,39837.20048,NA,NA,36246.6355,
30,2013/12/13 15:15,26180.90568,25774.34091,24893.86943,27708.97179,27514.58317,NA,NA,25638.3005,
31,2013/12/7 23:39,44906.58744,45302.47588,44203.60511,44902.10038,47941.43574,NA,NA,44945.3403,
32,2013/12/17 14:53,39494.28751,39441.36687,43529.30366,41643.45471,39850.5024,NA,NA,39641.6562,
33,2013/12/11 23:46,23175.28638,22857.01667,21495.21952,26651.36725,23533.91096,NA,NA,22971.0199,
34,2013/12/1 11:36,44513.03659,45302.45013,38754.13601,42136.24586,46094.88678,NA,NA,45111.1948,
35,2013/12/3 0:03,18851.76028,18712.7222,13408.75459,16309.00194,17449.23694,NA,NA,18574.517,
36,2013/12/9 18:00,37217.07175,37707.23619,41916.03826,38660.20935,37781.71687,NA,NA,37487.8252,
37,2013/12/1 17:32,13986.70988,13576.96491,17538.1753,16833.82282,15429.48979,NA,NA,13730.1016,
38,2013/12/1 18:45,15240.10594,14982.95223,17703.0172,18030.02059,15451.92194,NA,NA,14960.155,
39,2013/12/21 1:23,42713.08027,43054.60455,46754.21691,43980.79179,41192.61938,NA,NA,43033.3054,
40,2013/11/24 18:06,37674.21278,37675.68417,39646.87454,39215.89954,39203.41615,NA,NA,37801.1718,
41,2013/11/25 7:19,40717.72734,40897.02339,40090.39387,43445.90815,39484.91603,NA,NA,41056.1517,
42,2013/12/27 12:45,33635.71591,33578.64404,32820.33632,35005.50399,35117.49044,NA,NA,33597.4819,
43,2013/11/24 18:44,27703.83412,27655.91272,27405.1192,27750.65979,28140.26714,NA,NA,27642.1114,
44,2013/12/11 0:13,21789.53199,21536.41379,23614.24658,19344.62512,26433.92195,NA,NA,21297.687,
45,2013/12/10 22:15,14854.67807,14645.7832,13636.05571,13569.21344,12315.32832,NA,NA,14731.6342,
46,2013/12/25 0:40,16685.43222,16106.27826,21444.24178,16804.84134,14925.50178,NA,NA,16249.9105,
47,2013/12/27 9:21,15207.60684,14628.04678,20413.52887,16302.76303,13888.01157,NA,NA,51580.3293,
48,2013/12/4 9:35,15118.02795,14683.41923,16272.49212,15936.33717,14161.46372,NA,NA,14740.604,
49,2013/12/15 12:24,25690.05128,25220.47856,39977.68352,31121.41647,29022.1527,NA,NA,25304.0387,
50,2013/12/9 18:32,38601.50543,38564.19219,40832.11396,40887.29304,38021.66301,NA,NA,38646.6423,
51,2013/12/8 2:29,35600.82109,35492.48157,31070.59635,36368.74014,36561.55213,NA,NA,35428.8676,
52,2013/12/5 17:45,18293.90425,17609.29191,19699.34533,22089.18508,19575.91388,NA,NA,13276.6967,
53,2013/12/23 23:47,14181.29256,13831.34203,17026.90192,16598.85389,13931.35331,NA,NA,17680.6335,
54,2013/12/6 11:46,32008.33929,32067.1351,38655.94616,33161.00085,34290.47359,NA,NA,13846.4925,
55,2013/12/23 18:41,32017.60864,32338.21638,36352.17544,31651.09463,29548.32091,NA,NA,32026.0164,
56,2013/12/14 12:04,48704.53819,48332.08865,39099.28173,43265.9894,51121.80028,NA,NA,32202.8529,
57,2013/12/24 3:50,35861.37722,36041.89181,38365.01729,35633.79113,34451.23819,NA,NA,36076.9008,
58,2013/12/9 19:35,30372.02601,30179.81927,47480.15647,36755.72189,31126.08174,NA,NA,30338.7709,
59,2013/11/30 6:08,37483.85903,37744.72865,41906.67999,35724.63724,36484.48224,NA,NA,37645.8519,
60,2013/12/23 11:03,38937.5011,39144.55017,42641.73962,39505.85453,36440.19073,NA,NA,39531.2847,
61,2013/12/25 5:56,44282.85326,45043.20691,45613.544,42883.80913,44478.92596,NA,NA,45123.3889,
62,2013/11/28 3:09,14973.2321,14448.1003,15942.44741,15726.88642,16260.82083,NA,NA,14532.0881,
63,2013/12/27 20:06,25980.86464,25607.64301,27543.49366,27156.87092,27419.45674,NA,NA,25456.8864,
64,2013/12/12 9:46,30970.33943,30907.74113,28860.58347,34164.53512,31898.66819,NA,NA,30946.761,
65,2013/12/12 6:32,26860.38567,27336.22881,19833.2095,20157.43013,25043.24744,NA,NA,27300.8883,
66,2013/12/3 2:17,24271.98822,24315.68847,19290.51937,22991.15063,23334.49892,NA,NA,24254.8131,
67,2013/11/26 5:33,36721.55845,37093.1885,43261.89188,41174.42622,38310.56766,NA,NA,37268.3974,
68,2013/12/24 23:23,12442.89333,11902.61162,13933.46952,15622.68519,15563.39257,NA,NA,11758.0956,
69,2013/12/18 23:04,20802.87688,20347.70049,22181.82713,21185.73408,21228.33249,NA,NA,20338.0835,
70,2013/12/25 23:53,16136.98288,15849.27833,17564.3004,19026.5515,16297.72057,NA,NA,15881.0465,
71,2013/12/3 16:39,22182.37629,22111.13949,23086.91355,21818.04152,23993.5725,NA,NA,21873.0738,
72,2013/12/26 17:22,47293.79057,47202.27846,48076.32396,47144.14579,48123.79923,NA,NA,47280.2058,
73,2013/12/13 6:31,15168.13929,14879.84139,12887.1211,16105.89211,15551.29609,NA,NA,15134.6115,
74,2013/12/27 14:50,19400.66697,18783.87675,16888.55662,21553.16194,19983.62042,NA,NA,18840.1715,
75,2013/12/23 0:16,46416.55044,46494.3854,46775.87916,47235.64445,43594.27669,NA,NA,46395.1412,
76,2013/12/28 12:52,43972.56396,44179.97514,40710.13522,45155.72171,44629.12312,NA,NA,44222.5094,
77,2013/12/12 1:34,25078.60039,24719.72929,35442.72963,25017.81036,25356.75219,NA,NA,24641.2717,
78,2013/12/2 13:36,24304.36805,24353.16883,22725.7082,26831.52388,25752.37113,NA,NA,24229.5785,
79,2013/12/24 18:55,32233.5436,32644.17517,41112.30105,31205.45351,31982.91177,NA,NA,32456.2721,
80,2013/12/1 18:28,14584.30181,14055.08708,21702.81741,16122.6301,15751.37809,NA,NA,14095.822,
81,2013/12/4 9:36,15313.33309,15035.64484,15867.37339,15720.67722,16229.08222,NA,NA,15001.6532,
82,2013/12/20 14:29,27557.23851,27510.4425,18782.28551,25489.051,24720.94211,NA,NA,27466.9868,
83,2013/12/10 11:07,22639.72121,22313.20773,19721.62903,25351.88497,27299.5769,NA,NA,22323.2097,
84,2013/12/22 5:01,32672.07438,32381.06226,42843.1498,34390.34372,27712.98763,NA,NA,32578.6765,
85,2013/12/8 5:27,31664.51643,31923.60311,39194.58189,29196.4741,29655.14468,NA,NA,13323.8898,
86,2013/12/2 20:20,47571.75681,48201.83996,41466.80641,46166.60739,44515.55493,NA,NA,47980.0958,
87,2013/11/25 18:36,9220.256855,8836.746348,14494.75016,12104.74537,7611.719782,NA,NA,8826.45595,
88,2013/12/6 8:39,35060.74609,34970.60395,27676.61026,32888.30314,37152.54988,NA,NA,35154.313,
