"time","lasso","forward","tree","Random_Forest","SVR_L","SVR_P","SVR_R","true_value"
2013-12-27 09:28:00,15254.62947918,14804.6512098946,20467.38099,16809.6570674177,15636.536139887,NA,NA,14787.65109
2013-11-24 13:08:00,29646.958097596,29788.0015661583,27088.9376111333,25081.0431477851,25930.2955468209,NA,NA,29730.78881
2013-12-16 16:59:00,15282.8689647651,15102.4376031702,15440.18465,13496.6652025357,18221.1222971233,NA,NA,15000.80335
2013-12-08 13:00:00,18934.3397791805,18985.9406281936,17022.6371320833,16797.4293077845,18883.8536456147,NA,NA,18676.36596
2013-12-20 13:26:00,27029.7054856862,26902.5258266479,19554.3273463636,28797.6140543747,28191.2185421773,NA,NA,26969.27947
2013-12-24 04:27:00,42823.5830317249,43495.4756104544,43077.5060628571,42169.1867971196,42271.4762231449,NA,NA,43139.47542
2013-12-16 20:16:00,21756.8709090847,21736.6410249475,23044.456663,22037.5279767458,21522.3118638892,NA,NA,21733.2789
2013-12-16 11:18:00,42720.9127270938,43063.6841477877,44479.8800766667,42943.771668546,46336.1021350186,NA,NA,42945.47159
2013-11-26 18:45:00,46861.1827548709,47434.0241520438,39177.7395676923,41936.219916835,43131.945740376,NA,NA,47214.88094
2013-11-24 21:51:00,28974.7988821082,28778.5035471709,37786.3800628571,27536.1613856773,26954.3727293233,NA,NA,28948.87563
2013-12-04 06:30:00,20016.7828366369,19937.1352592279,22519.8428825,18609.805401267,21257.076586591,NA,NA,19813.54768
2013-12-26 11:20:00,15131.0757496041,14242.224882858,16682.8096688889,19509.399263935,15361.8939599077,NA,NA,14635.95994
2013-12-11 12:43:00,45444.9444460497,45902.3978001262,37750.0405827273,41137.8281584687,43165.9004051818,NA,NA,45806.98664
2013-12-14 19:38:00,21396.0278695333,21200.4773859117,17566.64113375,18400.8590115077,20486.9602323204,NA,NA,21113.74113
2013-12-28 13:04:00,43795.0342245057,44086.3115863953,42288.284489,44075.4844612087,42367.8142460364,NA,NA,44184.64115
2013-11-24 09:38:00,47528.0915364385,47796.9825878963,39535.7692825,41027.586216989,47592.384244326,NA,NA,47894.50107
2013-12-09 19:17:00,33723.8487824381,33082.0243309117,36514.6102414286,36680.3609569117,34977.462988449,NA,NA,33676.96518
2013-12-28 00:24:00,14228.6449352491,13899.1042064835,13656.0355328571,14102.470214071,13055.2469666255,NA,NA,13885.4713
2013-12-20 09:32:00,30457.9170604729,30307.7248041354,22342.3508444444,27414.179006321,30273.371964372,NA,NA,30370.78155
2013-11-26 00:17:00,20351.8082853345,20083.9961501241,22809.8351092308,18968.015642961,17913.7839998656,NA,NA,19997.64958
2013-12-22 07:39:00,28021.3160826807,27421.7904363106,20344.598067375,30657.71297974,32037.2733019622,NA,NA,27954.87812
2013-12-07 06:49:00,23718.3308636439,23662.554455879,20543.4181107692,19630.2171475553,16238.3167562072,NA,NA,23569.64866
2013-12-21 06:02:00,35714.3185501217,36137.0016594647,39090.5232508333,33446.5366442313,28111.3654740855,NA,NA,36066.62881
2013-12-17 12:19:00,31049.903609208,31072.2548779907,33342.0349725,31662.4063321653,29831.0964724263,NA,NA,31063.49787
2013-11-27 03:22:00,36481.6402843111,36205.3957965552,26112.6555888235,38990.3989339013,39647.8302894881,NA,NA,36251.23436
2013-12-07 21:43:00,40829.8824959711,41301.876699759,44721.7255177778,42105.5799299332,40054.1274267033,NA,NA,41110.69968
2013-12-24 20:17:00,41150.2514016689,41272.8162572449,36707.58793375,40072.975505438,41824.0494676316,NA,NA,41303.80115
2013-12-04 18:18:00,15122.2359270028,14699.3663964806,19690.5392163333,17914.7002060382,19858.4147931669,NA,NA,14732.29912
2013-12-24 06:36:00,36311.9297580486,36013.8057710724,29937.1098878947,39340.0688337686,37365.969260857,NA,NA,36467.83718
2013-12-13 15:15:00,26166.7085738791,25786.4508125166,22865.9810859167,28767.4320515003,29996.3248271514,NA,NA,26014.96224
2013-12-07 23:39:00,44943.386176686,45110.5490091723,42095.9787476923,43359.7819146627,49027.1105808082,NA,NA,45299.7651
2013-12-17 14:53:00,39545.3330129344,39506.2143806222,37240.9034922222,39246.43355458,40321.0349470521,NA,NA,39698.38889
2013-12-11 23:46:00,23217.0258712189,22884.5894006409,20808.7294323077,25047.78649461,23955.560083662,NA,NA,22963.23248
2013-12-01 11:36:00,44708.2148038413,45045.4332831859,44849.8927975,45064.5213339636,46799.0673531395,NA,NA,44914.50043
2013-12-03 00:03:00,18725.6967210855,18553.7552460325,14400.9504325,18173.225214739,19777.4099386579,NA,NA,18469.00222
2013-12-09 18:00:00,37205.4289771913,37412.1145791874,41754.2250907692,37770.3473972787,38323.7258811608,NA,NA,37427.14499
2013-12-01 17:32:00,13706.646819862,13616.8094064314,12717.0729954444,13120.0344189857,16714.2293550977,NA,NA,13445.98642
2013-12-01 18:45:00,15280.177337166,15056.7527394402,16722.1220057143,16033.8516562147,13613.0113935757,NA,NA,14777.4207
2013-12-21 01:23:00,42513.3011836271,42971.5145479573,42965.7219611111,44560.1400182474,40982.3999593907,NA,NA,43012.96801
2013-11-24 18:06:00,37604.0016906465,37790.4013255321,41366.393417,40726.5788577873,45549.1223608507,NA,NA,37814.62282
2013-11-25 07:19:00,40865.0377038037,40934.8473944863,39796.80301,41393.2705473289,43618.5402417094,NA,NA,41048.27382
2013-12-27 12:45:00,33545.0255721245,33647.0922572175,36199.2118585714,35750.7389039681,31402.5492110425,NA,NA,33662.86574
2013-11-24 18:44:00,27609.0277177509,27640.0292132492,34958.53603,29042.7230991854,26829.266332496,NA,NA,27643.07833
2013-12-11 00:13:00,21630.2400501964,21245.8447257714,18595.8896281818,21255.2071097694,32471.5438639461,NA,NA,21301.14919
2013-12-10 22:15:00,14998.7565894148,14627.2408002738,15165.5141521111,15670.0789809276,16539.9216731143,NA,NA,14548.34037
2013-12-25 00:40:00,16677.9642928174,16212.9883136746,19722.9371542857,17518.6956451093,19492.0972857089,NA,NA,16264.00958
2013-12-27 09:21:00,15234.3796900985,14713.0134641189,18952.666793,17224.3878452656,18141.9196336157,NA,NA,14806.79399
2013-12-04 09:35:00,14869.1672493535,14763.9647188529,18968.3315246154,16300.7865849977,17198.9021380489,NA,NA,14519.21862
2013-12-15 12:24:00,25743.9877718773,25373.3015518231,28165.8398308333,27266.587336671,27776.6196442616,NA,NA,25540.4579
2013-12-09 18:32:00,38554.6500722573,38442.842259295,41664.59161,39718.0203531447,40157.6082556102,NA,NA,38980.48284
