,time,lasso,forward,tree,Random_Forest,SVR_L,SVR_P,SVR_R,true_value
1,2013/12/27 9:28,15124.23177,14792.01529,13710.31708,14755.54284,13910.78793,NA,NA,14784.04578
2,2013/11/24 13:08,29787.8268,29690.9015,27116.32852,29485.92251,30183.45661,NA,NA,29723.33157
3,2013/12/16 16:59,15358.56534,14986.70154,12707.44383,15141.33819,14876.01937,NA,NA,14933.66739
4,2013/12/8 13:00,18947.72776,18896.78638,17873.97467,18321.60726,18012.87118,NA,NA,18903.90111
5,2013/12/20 13:26,27059.58545,26917.18099,28416.51598,26958.1833,27266.05166,NA,NA,27021.78135
6,2013/12/24 4:27,42836.78241,43515.1193,45726.87548,43087.38129,42748.28761,NA,NA,43553.21334
7,2013/12/16 20:16,21945.44826,21716.95647,23297.97034,21828.87244,21622.77855,NA,NA,21690.55014
8,2013/12/16 11:18,42667.33085,42969.05682,46430.03614,43077.12398,42892.02655,NA,NA,42989.86647
9,2013/11/26 18:45,46792.67538,47343.75432,47460.47134,47023.7523,46510.46311,NA,NA,47213.17337
10,2013/11/24 21:51,28990.9455,28735.48858,28596.97623,29227.98139,29224.42414,NA,NA,28737.36312
11,2013/12/4 6:30,20087.14484,19968.61909,18414.04209,19947.54677,19788.64871,NA,NA,19898.1793
12,2013/12/26 11:20,15005.79776,14212.11862,13650.65213,15046.56722,14876.72726,NA,NA,14218.71244
13,2013/12/11 12:43,45445.37879,45838.41053,47868.11233,45928.6079,45440.84314,NA,NA,45777.21191
14,2013/12/14 19:38,21327.34351,21271.78745,22606.48867,21069.06271,20742.06468,NA,NA,21261.6795
15,2013/12/28 13:04,43823.83668,44085.45167,42203.29297,44150.89256,43846.07148,NA,NA,44047.85412
16,2013/11/24 9:38,47439.92094,47897.05762,47948.91544,47760.09136,48145.63478,NA,NA,47913.9258
17,2013/12/9 19:17,33605.828,33339.80089,35772.49242,33644.24452,33310.94532,NA,NA,33290.01409
18,2013/12/28 0:24,14299.51957,13896.16299,12417.1942,14129.31758,13318.01501,NA,NA,13945.25805
19,2013/12/20 9:32,30335.43985,30408.12359,27706.26301,29856.60972,30758.02512,NA,NA,30379.78427
20,2013/11/26 0:17,20262.99825,20175.85583,17826.8552,19327.68553,20193.75767,NA,NA,20201.16181
21,2013/12/22 7:39,28026.58862,27437.40849,25303.22919,28675.1379,28647.69398,NA,NA,27436.89109
22,2013/12/7 6:49,23745.44432,23860.01692,22325.44578,23563.16655,23612.33113,NA,NA,23736.05066
23,2013/12/21 6:02,35940.08459,36083.80486,38056.36388,36109.87363,35434.85301,NA,NA,36071.9887
24,2013/12/17 12:19,31060.10452,30881.41939,26375.53,31284.35816,31442.57067,NA,NA,30927.3521
25,2013/11/27 3:22,36121.23847,36299.73515,37912.74752,36036.45957,36554.43583,NA,NA,36526.46415
26,2013/12/7 21:43,40872.99743,41319.29886,45572.72159,41168.62288,40946.12464,NA,NA,41356.47901
27,2013/12/24 20:17,41043.54497,41329.33563,45639.14438,41445.14192,40974.73867,NA,NA,41301.74762
28,2013/12/2 5:32,51197.91082,51226.16236,47924.62355,50500.44861,52159.59142,NA,NA,51537.58504
29,2013/12/4 18:18,15120.77135,14709.03605,13144.99049,14607.05573,14838.30061,NA,NA,14732.51085
30,2013/12/24 6:36,36324.04994,36289.98853,38734.1892,37197.76663,36334.8186,NA,NA,36246.63554
31,2013/12/13 15:15,26104.1561,25740.86479,23343.593,26365.68475,25816.14027,NA,NA,25638.30045
32,2013/12/7 23:39,44973.40525,45139.39036,47733.84738,45549.10496,45373.78729,NA,NA,44945.34034
33,2013/12/17 14:53,39459.46226,39568.72778,37985.96169,39759.88698,39406.65899,NA,NA,39641.65615
34,2013/12/11 23:46,23133.39389,22833.19235,22979.32749,23171.67328,23218.52309,NA,NA,22971.01989
35,2013/12/1 11:36,44529.82115,45064.83616,42639.98185,44580.85672,45752.50573,NA,NA,45111.19478
36,2013/12/3 0:03,18770.2953,18635.02973,17871.90413,18400.19821,18040.38575,NA,NA,18574.51703
37,2013/12/9 18:00,37226.58783,37494.10195,36107.35759,37414.7663,37920.09205,NA,NA,37487.82515
38,2013/12/1 17:32,13833.76441,13696.85162,13805.97931,13203.78493,13028.26118,NA,NA,13730.10161
39,2013/12/1 18:45,15164.93508,14957.72311,12611.84906,14491.7815,14553.87364,NA,NA,14960.15503
40,2013/12/21 1:23,42688.01369,42941.60251,43187.00958,43521.20038,43188.09408,NA,NA,43033.3054
41,2013/11/24 18:06,37605.16058,37727.44039,38228.95123,37802.09964,37795.9698,NA,NA,37801.1718
42,2013/11/25 7:19,40779.55131,40951.67105,42758.08108,41373.2105,41272.01527,NA,NA,41056.15174
43,2013/12/27 12:45,33573.15489,33610.96291,34353.974,34018.80682,33645.61481,NA,NA,33597.48194
44,2013/11/24 18:44,27729.73273,27655.77081,28079.25821,27504.13163,27530.90921,NA,NA,27642.11137
45,2013/12/11 0:13,21533.06718,21365.32181,22871.50058,21468.37054,21186.29378,NA,NA,21297.68699
46,2013/12/10 22:15,14994.38718,14566.28364,12696.59701,14410.31321,14927.12179,NA,NA,14731.6342
47,2013/12/25 0:40,16639.5,16231.48879,18238.30504,16462.61072,16125.84999,NA,NA,16249.91051
48,2013/12/2 6:06,51062.53337,51538.35664,45571.49694,50971.87144,51057.50269,NA,NA,51580.32931
49,2013/12/27 9:21,15140.71362,14820.69947,13168.70171,14743.665,13978.69414,NA,NA,14812.06266
50,2013/12/4 9:35,14891.3322,14713.92165,14420.39409,14228.56531,13957.15216,NA,NA,14740.604
51,2013/12/15 12:24,25688.06781,25342.72817,23609.04182,25445.12133,25501.2333,NA,NA,25304.03867
52,2013/12/9 18:32,38767.83518,38589.91339,38607.97238,39157.80381,39501.36201,NA,NA,38646.64228
53,2013/12/8 2:29,35561.72487,35455.71969,34904.67911,36069.38168,35892.02781,NA,NA,35428.86759
54,2013/11/27 16:49,13695.40014,13298.95363,13334.52501,13185.4853,13111.69449,NA,NA,13276.69666
55,2013/12/5 17:45,18154.30242,17646.39401,18796.27472,18019.47758,18903.17767,NA,NA,17680.63347
56,2013/12/23 23:47,14128.27888,13846.9283,13017.53072,13752.83109,13194.88182,NA,NA,13846.49254
57,2013/12/6 11:46,31952.94767,32067.16238,33169.83247,32282.91181,32321.46021,NA,NA,32026.01644
58,2013/12/23 18:41,32038.4609,32141.20003,33621.58824,32272.23777,31637.28877,NA,NA,32202.85294
59,2013/12/14 12:04,47944.97963,48387.60168,45992.66607,48479.8834,48702.6764,NA,NA,48383.56828
60,2013/12/24 3:50,35914.35456,36130.31876,37564.67032,35974.93165,35287.01402,NA,NA,36076.90078
61,2013/12/9 19:35,30385.528,30437.92303,27628.60526,30384.97641,30828.01764,NA,NA,30338.77091
62,2013/11/30 6:08,37382.42336,37689.57495,38774.9546,37744.08157,37559.92177,NA,NA,37645.85191
63,2013/12/23 11:03,39114.53434,39185.88966,35506.7229,39565.2423,40081.49086,NA,NA,39531.28465
64,2013/12/25 5:56,44331.16205,45066.82239,45735.46158,43949.95791,43817.40802,NA,NA,45123.38891
65,2013/11/28 3:09,14940.08662,14370.99671,12376.99248,14766.13428,14348.17229,NA,NA,14532.08813
66,2013/12/27 20:06,25859.19031,25453.15915,27117.17225,26152.26888,25837.02535,NA,NA,25456.88644
67,2013/12/12 9:46,31067.20225,30945.94268,32004.11856,31398.92646,31362.48847,NA,NA,30946.76097
68,2013/12/12 6:32,26824.99585,27166.72706,27792.01307,26280.10014,26899.74945,NA,NA,27300.88828
69,2013/12/3 2:17,24378.84289,24364.72503,25570.7405,24139.95022,24062.61348,NA,NA,24254.81313
70,2013/11/26 5:33,36834.78496,37138.18458,35417.82003,37017.17644,37103.44218,NA,NA,37268.39738
71,2013/12/24 23:23,12474.36244,11652.80951,13345.96967,13249.49984,12681.10213,NA,NA,11758.09563
72,2013/12/18 23:04,20932.68565,20358.52647,22329.28689,21072.82261,21232.91229,NA,NA,20338.08347
