"time","lasso","forward","tree","Random_Forest","SVR_L","SVR_P","SVR_R","true_value"
2013-12-27 09:28:00,18793.0588649331,22131.2093368465,26510.99562875,20948.9863235923,15161.3507756973,NA,NA,14787.65109
2013-11-24 13:08:00,30363.7666952425,32180.1902991934,22035.415755,27932.907653808,27219.9204988129,NA,NA,29730.78881
2013-12-16 16:59:00,17548.3528696806,16859.0355531395,13855.1600728571,13994.5267923313,14851.3751609972,NA,NA,15000.80335
2013-12-08 13:00:00,24904.9323533581,36939.1534511252,15633.7822615714,18178.9706993619,25513.3634935953,NA,NA,18676.36596
2013-12-20 13:26:00,29805.9302339923,55381.680241808,19708.8265908333,23142.9178443863,31963.3114752608,NA,NA,26969.27947
2013-12-24 04:27:00,34635.2967383537,45466.1700918081,43170.18273375,39651.9965140414,29751.521640481,NA,NA,43139.47542
2013-12-16 20:16:00,21031.7408348974,22785.6898389727,20316.6510183333,22917.339224392,19867.5364645272,NA,NA,21733.2789
2013-12-16 11:18:00,39714.6657895871,39769.3689638995,45913.60701,46457.6430680624,39954.3254045768,NA,NA,42945.47159
2013-11-26 18:45:00,41680.4301202834,43748.1299721698,40025.2192975,39696.5015391567,50328.7258617081,NA,NA,47214.88094
2013-11-24 21:51:00,25980.9306044161,22896.3152363994,24976.76887625,29135.6112551147,19566.3155896818,NA,NA,28948.87563
2013-12-04 06:30:00,21248.9720023647,25379.8357800198,17251.4078988182,17365.0521487248,16428.7001851655,NA,NA,19813.54768
2013-12-26 11:20:00,19408.4062703502,15130.8940372943,20088.1416190909,19403.677069925,9823.56138760132,NA,NA,14635.95994
2013-12-11 12:43:00,43936.8398464785,58245.8072531696,41679.8799228571,42651.6249793987,53734.2138323556,NA,NA,45806.98664
2013-12-14 19:38:00,25100.7190669447,17317.4698100856,26439.0900744444,21852.9574741673,27981.3518197524,NA,NA,21113.74113
2013-12-28 13:04:00,40189.1719816047,42055.9762308174,39333.3259672727,39697.2040761883,46223.3962464355,NA,NA,44184.64115
2013-11-24 09:38:00,44367.7825338539,52035.1544980011,39736.4083972727,41077.463958065,48362.0785829131,NA,NA,47894.50107
2013-12-09 19:17:00,33231.9644733145,30747.373447699,36417.864571,36943.5012218223,24499.0678726246,NA,NA,33676.96518
2013-12-28 00:24:00,13575.9038762763,4832.3971936944,13809.4072266667,13942.925385968,6977.16174360489,NA,NA,13885.4713
2013-12-20 09:32:00,31810.8486243975,29317.5099939962,39742.957353,32684.9332244236,33107.9026541741,NA,NA,30370.78155
2013-11-26 00:17:00,21769.3074690895,11061.6505077383,19667.6276481818,18020.9140157567,16337.1005809437,NA,NA,19997.64958
