"","time","lasso","forward","tree","Random_Forest","SVR_L","SVR_P","SVR_R","true_value"
"1",2013-12-27 09:28:00,13661.3602603851,17624.0711595951,15742.0522101325,15119.1906555814,14889.7891672197,NA,NA,14787.65109
"2",2013-11-24 13:08:00,29918.0444021155,29932.2956414135,27647.57005,30799.4024030306,32971.0948958621,NA,NA,29730.78881
"3",2013-12-16 16:59:00,13904.5287814996,16643.7482691932,14181.4614922222,17267.8570630729,10754.6254548916,NA,NA,15000.80335
"4",2013-12-08 13:00:00,21937.0796969657,21367.4880542181,21823.5542784149,23640.8643745985,22752.308801533,NA,NA,18676.36596
"5",2013-12-20 13:26:00,28594.2098018778,29405.2911842649,28682.3261815789,27445.863166365,28936.1136014665,NA,NA,26969.27947
"6",2013-12-24 04:27:00,45163.5251698328,48361.1174342916,44444.0165025,43337.8805161391,46736.4162711803,NA,NA,43139.47542
"7",2013-12-16 20:16:00,20165.1978344586,20692.8812525052,24227.5370582105,23094.5011903493,19875.780813577,NA,NA,21733.2789
"8",2013-12-16 11:18:00,41912.1994128691,42133.9689284962,37616.1278439773,41638.7605779813,41564.3077925801,NA,NA,42945.47159
"9",2013-11-26 18:45:00,44926.1019132828,45989.8333594573,43977.7636507955,45167.5262322413,45300.6601053652,NA,NA,47214.88094
"10",2013-11-24 21:51:00,27644.0966818656,26226.3523076829,26585.3549168293,31015.4583979553,23343.901806285,NA,NA,28948.87563
"11",2013-12-04 06:30:00,20847.6732593937,23786.1409452237,18372.3209516667,22256.235178073,18856.44982604,NA,NA,19813.54768
"12",2013-12-26 11:20:00,10760.072820872,10448.8216522738,14346.9791436538,15408.1672086459,9850.77887980282,NA,NA,14635.95994
"13",2013-12-11 12:43:00,42057.569245978,42606.99770737,44423.2074631765,40805.2552129847,43549.2388019722,NA,NA,45806.98664
"14",2013-12-14 19:38:00,24063.6432722214,23503.6170907512,25339.71875,23071.7685297377,23215.0683961928,NA,NA,21113.74113
"15",2013-12-28 13:04:00,41837.3700565148,41732.525107442,36552.2805028571,37080.2914589837,39782.6823445868,NA,NA,44184.64115
"16",2013-11-24 09:38:00,46128.2268229192,46309.9076457721,44122.7331955696,45913.7052261033,49289.8542958278,NA,NA,47894.50107
"17",2013-12-09 19:17:00,29730.9881596601,28775.4128411345,28706.5300157895,28093.2925893673,32309.208738409,NA,NA,33676.96518
"18",2013-12-28 00:24:00,12715.7005939885,14361.6333960122,16192.2813804953,16559.1019944421,13227.0938957893,NA,NA,13885.4713
"19",2013-12-20 09:32:00,33839.5797436862,30660.9295012418,28516.8929040625,32143.768857847,32798.9223889812,NA,NA,30370.78155
"20",2013-11-26 00:17:00,22459.7982537789,22645.8806853363,25640.314989604,20143.109995739,21547.5636839818,NA,NA,19997.64958
"21",2013-12-22 07:39:00,20729.8895751408,19362.4423093887,28311.4179643636,24153.9134186173,20429.7327863622,NA,NA,27954.87812
"22",2013-12-07 06:49:00,29671.0349617961,30367.586907573,25085.5241566216,25273.483680248,29522.3702772999,NA,NA,23569.64866
"23",2013-12-21 06:02:00,35763.5118239013,35572.9301954744,29281.3130472881,34501.787111916,35488.5641046134,NA,NA,36066.62881
"24",2013-12-17 12:19:00,27591.5166085924,28050.5133397617,32363.0690658716,29960.0411313293,27072.2593178049,NA,NA,31063.49787
"25",2013-11-27 03:22:00,36300.5564946888,37642.7412172124,38928.175382093,38066.538818229,36325.6147837335,NA,NA,36251.23436
"26",2013-12-07 21:43:00,41167.973044666,41517.4382477016,40823.2653830556,42062.6285934883,41656.51154306,NA,NA,41110.69968
"27",2013-12-24 20:17:00,39787.3678092857,39646.7134483089,44821.0467437037,40318.8069366336,39446.5944640026,NA,NA,41303.80115
"28",2013-12-02 05:32:00,50545.7880504081,51348.7399795069,44582.8435247541,41694.8028392683,51267.5159515047,NA,NA,51361.45197
"29",2013-12-04 18:18:00,13503.1660778488,14566.3803966196,16154.0366356316,15018.65621552,13773.3265913359,NA,NA,14732.29912
"30",2013-12-24 06:36:00,37588.8774292009,32666.5925902698,32570.0676976471,34166.7908881556,35090.3757734683,NA,NA,36467.83718
"31",2013-12-13 15:15:00,21699.5338519788,21631.1915950525,27925.8263447368,25655.0506894413,22445.3439697036,NA,NA,26014.96224
"32",2013-12-07 23:39:00,38458.3662541616,38191.3703462178,43786.2505494505,42374.1714511966,36260.5796080742,NA,NA,45299.7651
"33",2013-12-17 14:53:00,36432.0228328238,37716.4358901267,39387.4911095082,36977.77512668,38529.5801667679,NA,NA,39698.38889
"34",2013-12-11 23:46:00,21745.5211673337,21171.852423603,22559.5385014286,22888.6495240683,22806.7843294016,NA,NA,22963.23248
"35",2013-12-01 11:36:00,44015.9441649454,45293.4220681211,44782.5334590476,44057.88779419,44598.2397951992,NA,NA,44914.50043
"36",2013-12-03 00:03:00,23498.2773747655,23695.213683904,20775.5186084211,21234.7006100055,23615.9656416809,NA,NA,18469.00222
"37",2013-12-09 18:00:00,36160.5523655183,36430.0555395861,35133.6619720313,37246.270406475,35107.6093372158,NA,NA,37427.14499
"38",2013-12-01 17:32:00,16202.9106417352,16487.3784477777,13691.5857585278,13139.0777030256,17676.9200130583,NA,NA,13445.98642
"39",2013-12-01 18:45:00,19123.4889755523,19494.8195817457,13381.6825330541,15056.7834700178,20965.901911482,NA,NA,14777.4207
"40",2013-12-21 01:23:00,42639.5099770158,42865.4997780219,35276.3056216667,39106.1972840254,44613.0047699982,NA,NA,43012.96801
"41",2013-11-24 18:06:00,31620.6032911295,36851.19028588,33191.4661733333,30430.4941159137,30215.6468302663,NA,NA,37814.62282
"42",2013-11-25 07:19:00,40006.4953344684,40356.0766739124,44316.8214694496,42957.190691961,38423.0152913696,NA,NA,41048.27382
"43",2013-12-27 12:45:00,34330.3297689426,33247.8525907435,33948.9812954348,32605.2079736527,34162.6454312051,NA,NA,33662.86574
"44",2013-11-24 18:44:00,23806.0681981481,25152.5363628211,24816.5046714286,27097.3354212433,23460.5421587803,NA,NA,27643.07833
"45",2013-12-11 00:13:00,25594.5997535944,24454.9747393528,20173.3470045312,21647.4295127863,24542.0342098736,NA,NA,21301.14919
"46",2013-12-10 22:15:00,16879.5125973833,14417.3682601339,15879.825800027,14366.6032740863,17352.3787186991,NA,NA,14548.34037
"47",2013-12-25 00:40:00,18184.6256139731,17770.81077406,16635.6364861881,19359.8602779224,16603.9825893881,NA,NA,16264.00958
"48",2013-12-02 06:06:00,47895.4226759841,51195.60221874,43618.672812807,44548.26221891,51426.2920421093,NA,NA,51581.63152
"49",2013-12-27 09:21:00,11239.6643193482,15197.8483510884,14924.6992298077,16184.2969127604,9798.86620398396,NA,NA,14806.79399
"50",2013-12-04 09:35:00,20255.4600620978,21461.2310484545,15215.5273635714,20201.8631551413,19504.0523189338,NA,NA,14519.21862
"51",2013-12-15 12:24:00,22982.4190192758,20805.5414144029,25278.0265202857,26863.3415673237,21235.153155456,NA,NA,25540.4579
"52",2013-12-09 18:32:00,33065.5976628281,32070.8732625374,36344.8782481309,36347.0826751327,32068.5660185592,NA,NA,38980.48284
"53",2013-12-08 02:29:00,32594.8595925025,31781.270880196,29145.2423370455,33764.4925203663,31820.4417463428,NA,NA,35686.76922
"54",2013-11-27 16:49:00,13206.9545367622,13324.0807379451,15216.1074277606,15198.1157665465,13471.2296719238,NA,NA,13278.22472
"55",2013-12-05 17:45:00,19146.0116474056,18480.1832116834,16768.6249248095,19385.2930237653,22688.1670598167,NA,NA,17823.80184
"56",2013-12-23 23:47:00,18155.7215838774,16776.7563273129,13508.795046122,14263.8717177761,18285.4192524577,NA,NA,13746.56858
"57",2013-12-06 11:46:00,31216.9326127703,31323.7325761975,35941.4426186154,35280.1464547887,32057.6026139719,NA,NA,31997.67092
"58",2013-12-23 18:41:00,31135.2890871316,34016.4841456645,40510.3403529167,37331.3363242073,30767.9341008544,NA,NA,32084.48807
"59",2013-12-14 12:04:00,49739.5182344736,47028.2546111489,43730.4559431035,45533.073794106,52261.5808087234,NA,NA,48389.45349
"60",2013-12-24 03:50:00,39746.3095918274,39533.3870723927,35500.3484585859,38123.0056396817,41901.6180594888,NA,NA,36076.89891
"61",2013-12-09 19:35:00,27844.7263109669,30282.8743755186,28881.4769404444,28007.1093342107,27442.3368953211,NA,NA,30402.27341
"62",2013-11-30 06:08:00,37941.5929733568,39260.3888725568,39884.8082585507,39453.4566245423,36308.0363976758,NA,NA,37567.62808
"63",2013-12-23 11:03:00,38397.4410754329,39970.2601752856,31766.1293876471,34108.598103117,40564.9324802545,NA,NA,39228.43214
"64",2013-12-25 05:56:00,50018.1202563442,48364.168378702,40848.1279727397,43994.9089842689,48578.5972937398,NA,NA,44669.72494
"65",2013-11-28 03:09:00,12923.5918224622,12042.1740565525,14042.8609704483,16527.1280445774,13417.3972620401,NA,NA,14539.04243
"66",2013-12-27 20:06:00,22773.1597374225,22632.193575226,23969.5962185227,25206.317123502,20000.7380699538,NA,NA,25743.95586
"67",2013-12-12 09:46:00,29001.94119928,28832.1295559562,27475.3292070085,32194.3452415,27555.6525067036,NA,NA,31119.65191
"68",2013-12-12 06:32:00,34612.5433782023,33313.7775967769,28925.9859702,30536.927690388,36961.6307477859,NA,NA,26765.4547
"69",2013-12-03 02:17:00,26076.3663487209,28032.2842114357,26867.9405876,24276.7557358666,27876.8756890391,NA,NA,24243.15639
"70",2013-11-26 05:33:00,36976.0116963115,36548.7311208839,38386.4843761111,38095.151123986,37597.942486872,NA,NA,36963.59272
"71",2013-12-24 23:23:00,9560.44293922288,7989.44957864735,15821.3944855638,13944.7649544689,6861.69037537055,NA,NA,12032.62278
"72",2013-12-18 23:04:00,19467.9367780267,19241.2348372672,22235.5010386667,24372.3515304717,17962.8830413763,NA,NA,20690.61585
"73",2013-12-25 23:53:00,12083.7453227325,15042.591829317,15832.0181030886,16646.5276331657,9102.087664372,NA,NA,15880.46697
"74",2013-12-03 16:39:00,25698.4516650417,26472.6998816053,20540.2291918293,25076.6758753894,25701.1217607405,NA,NA,21842.01999
"75",2013-12-26 17:22:00,43053.1634524646,44063.1029519443,46155.6425070588,44968.884026036,41423.7155281163,NA,NA,47554.46241
"76",2013-12-13 06:31:00,17882.2346181293,17551.5007868784,16066.5859372059,17006.1644197967,18756.986195441,NA,NA,14944.33509
"77",2013-12-27 14:50:00,16145.7185646823,16138.9123597975,16982.8185816186,18869.422204479,15178.0154353427,NA,NA,19141.34428
"78",2013-12-23 00:16:00,43161.7232731178,41718.6818390633,45619.9837401923,45019.3240917683,44545.8034961921,NA,NA,46880.8665
"79",2013-12-28 12:52:00,40432.1012425078,40834.6535602387,45815.6189319118,44707.9188930127,39494.7594155594,NA,NA,44251.94698
"80",2013-12-12 01:34:00,23570.3803466402,23526.2139403676,24164.4756620635,23095.3261495653,24673.3453114213,NA,NA,24684.18102
"81",2013-12-02 13:36:00,23763.8290966674,22776.5882065758,24743.4167286765,26182.5832508767,25128.6717482993,NA,NA,24256.01869
"82",2013-12-24 18:55:00,33464.6509486957,33607.3554891537,40423.3772811865,33127.7290651853,33347.485132529,NA,NA,32323.97624
"83",2013-12-01 18:28:00,16163.1019691852,18056.4216740246,16896.2785524639,14632.6905840145,17716.2960298113,NA,NA,14097.26071
"84",2013-12-04 09:36:00,20548.5331699251,20545.6949941483,13607.1442715217,15098.4633864834,23708.0797238645,NA,NA,14740.604
"85",2013-12-20 14:29:00,30197.6594741346,31982.2707227187,28583.35449,31489.5027637,31658.1771432098,NA,NA,27493.07644
"86",2013-12-10 11:07:00,21023.6955142117,20654.876024017,29643.0792785714,24041.1238617937,20810.3067557093,NA,NA,22401.40881
"87",2013-12-22 05:01:00,33126.3051965475,30926.7278617568,27658.4010703704,31528.3667092393,34302.6303070787,NA,NA,32658.33918
"88",2013-11-27 16:31:00,13102.2927010824,13122.2541544326,14037.2379387143,13640.0264822769,12081.2355723602,NA,NA,13321.94404
"89",2013-12-08 05:27:00,33280.8779532143,33901.6321971814,39823.5030721154,39060.792406809,32431.4481229048,NA,NA,31739.64763
"90",2013-12-02 20:20:00,42862.6440939573,46128.3855953958,45218.76340825,44639.8943925793,44637.6828529928,NA,NA,47983.34053
"91",2013-11-25 18:36:00,11035.6859972018,10531.9229064205,16125.5635502277,11909.2774065379,10896.4012533035,NA,NA,8827.157185
"92",2013-12-06 08:39:00,36296.6980496728,36644.6705013336,38583.5494328947,35927.9699974636,36925.9902851248,NA,NA,35004.17507
"93",2013-12-23 04:27:00,27480.5521991275,27451.7764398863,25401.2996720513,25705.1973275397,28142.6159173465,NA,NA,26687.75715
"94",2013-12-06 09:19:00,45665.6493588268,44994.4500554247,41530.135820566,43948.4479958431,43828.4073777715,NA,NA,45519.7075
"95",2013-12-05 09:58:00,41148.5810041551,39891.789219238,34480.0802853061,37502.0912586323,43727.2151549769,NA,NA,35508.72384
"96",2013-11-27 14:47:00,23745.9980636013,25662.0091095455,22903.7125851613,22727.7733460463,25513.089794942,NA,NA,23179.89057
"97",2013-12-21 18:13:00,31171.9040457823,31980.9444244306,32908.3560596842,32899.525178188,32369.988729099,NA,NA,31960.18164
"98",2013-12-19 15:07:00,29008.3162184288,30606.198267359,32605.1952328571,32725.1466761744,27302.0324916656,NA,NA,29486.74164
"99",2013-12-22 14:22:00,24754.6222623944,24605.1460185482,23143.0190895652,24301.9850085304,23234.7954869905,NA,NA,25050.72559
"100",2013-12-26 23:54:00,16350.1083096371,16310.4459674497,16321.5143704286,15889.1989098446,17111.492094112,NA,NA,15729.10276
"101",2013-12-21 15:27:00,22156.216204147,22731.0548789324,32363.2901376768,25521.981467707,20144.6951291973,NA,NA,29122.13731
"102",2013-12-16 00:01:00,33105.2842171601,33222.4261793482,36770.8965687097,34060.531795977,31336.1873597099,NA,NA,34829.19621
"103",2013-12-16 18:00:00,21124.0384867971,22576.0582235927,14674.5404342593,17902.4259877984,23417.3700315374,NA,NA,16277.21011
"104",2013-12-25 00:18:00,18711.050856833,17196.1702389483,15535.8527703832,14024.5252834982,17402.4843956542,NA,NA,14161.06161
"105",2013-12-08 14:06:00,22331.6416960375,22488.9706904107,25421.6273354167,23971.702598695,22758.6531634052,NA,NA,21895.38769
"106",2013-12-15 12:00:00,25330.892845973,24832.3624929194,36734.6122640594,28436.394043819,25902.4611258961,NA,NA,28704.58413
"107",2013-11-24 19:23:00,18647.4304541948,19219.702099802,21736.2635501013,19914.2077208744,17239.7044561842,NA,NA,19106.58139
"108",2013-11-25 14:58:00,23465.4732631984,22197.8937572786,31283.5417383607,29190.6603563516,20282.9477028347,NA,NA,25937.29087
"109",2013-12-07 14:09:00,34030.21011233,32172.2534587448,29612.9152013158,31975.6677444664,32938.6207519547,NA,NA,34117.19029
"110",2013-11-25 08:25:00,30991.7723268126,31241.6681414807,33383.9999214286,33101.9135683713,32976.8935480415,NA,NA,31854.45334
"111",2013-12-09 13:11:00,18420.7002151462,18226.180120702,19376.7455834615,18576.4883471807,20868.297089742,NA,NA,17754.322
"112",2013-12-27 15:28:00,14202.1606501045,11285.4947358927,16191.3273240847,16407.6735677105,14720.3596174525,NA,NA,15673.10631
"113",2013-12-21 00:15:00,35989.9264841366,36094.54425453,40384.1829627027,33403.3786598713,35185.8670833156,NA,NA,31784.00057
"114",2013-12-05 20:22:00,28621.1598047961,26995.753008219,28307.5422201429,30429.598669962,27562.5920772906,NA,NA,28859.25302
"115",2013-12-12 07:35:00,33688.5893681803,36119.4970546883,37147.40121875,35657.516731868,34604.5373189555,NA,NA,31032.63115
"116",2013-12-22 13:13:00,20671.2877939643,21430.8304609608,16870.9374150862,20744.081600868,20156.3326680823,NA,NA,19394.68037
"117",2013-12-14 04:47:00,13124.9524718092,14134.443601579,15920.3386891301,13365.9666420482,12248.3009644429,NA,NA,12437.47518
"118",2013-12-20 14:30:00,30606.4696008707,29012.2509191221,26073.7185682023,29200.784399886,32738.5351244524,NA,NA,27466.98681
"119",2013-11-26 09:14:00,48932.6535130591,48678.6373637171,45861.9916622222,46057.1911074483,51410.1194772625,NA,NA,47265.80728
"120",2013-11-26 09:45:00,46620.1366543419,44791.3263942042,44909.4827157471,46622.3152834971,45879.7577262384,NA,NA,47296.76912
"121",2013-12-10 06:40:00,34992.9221998433,34515.1859508783,34977.9477745455,34707.559482549,34702.7332644152,NA,NA,32384.45331
"122",2013-12-12 11:51:00,30228.7045465614,28217.3787739983,35070.2332985882,34256.504793463,30306.0521000234,NA,NA,32012.45391
"123",2013-12-06 18:16:00,41830.7935173604,41951.7592728423,44062.8510181538,46321.985333831,41476.8003196199,NA,NA,48683.10947
"124",2013-11-25 12:24:00,27198.0245929144,29532.9077028985,32675.5801601053,31297.6957365826,24819.4265318352,NA,NA,30494.67599
"125",2013-12-21 04:59:00,28646.3641326978,28087.3203739459,22877.2204736364,26183.683500215,28433.3111224961,NA,NA,26869.74951
"126",2013-12-18 18:02:00,29424.9417827448,26720.767749442,28670.4762390909,29596.4970878125,29659.6769996994,NA,NA,27237.53028
"127",2013-12-28 04:26:00,19489.5843619818,17858.5293232799,19250.6253041509,19345.617748455,18835.8242918743,NA,NA,17527.65654
"128",2013-11-26 11:42:00,19063.071059615,19581.3803929522,25623.035590678,22748.700319639,16918.6418506472,NA,NA,22892.49086
"129",2013-11-24 13:44:00,29880.1582612537,30835.7117957198,26794.247826,28459.405939765,30893.6902311165,NA,NA,27541.04422
"130",2013-12-10 17:38:00,19058.287708067,17697.5867471626,26282.3159444086,23551.7599925233,17979.4784248358,NA,NA,22649.71695
"131",2013-11-30 23:29:00,19747.8963566448,19114.4700331086,21863.1565117742,22219.5187513693,18570.6909653716,NA,NA,22256.46216
"132",2013-12-02 16:41:00,38111.6894501784,37375.041967181,38192.868779403,38451.5925239477,37900.4313502155,NA,NA,36769.60311
"133",2013-12-06 12:35:00,32035.2290303336,30793.5540141683,39013.4212161765,36289.8587026083,31856.1392134461,NA,NA,32640.50332
"134",2013-11-25 15:41:00,29211.6128294988,29440.1646195265,34896.7951650538,32236.7062418627,29670.7509601038,NA,NA,27959.83386
"135",2013-12-15 16:24:00,22311.8323035597,21331.3983769081,24995.7860865625,24991.2867088037,21831.7253125958,NA,NA,23109.31932
"136",2013-12-13 04:15:00,25654.4588310262,27130.0251261781,21841.5796810101,22461.404816983,26854.3845672656,NA,NA,21623.47744
